Location_Name,Location_ID
Fort Pierce,1
West Palm Beach,2
Cary,3
Jamaica,4
New York,5
Elmhurst,6
Midtown,7
East Harlem,8
Flatiron District,9
Midtown East,10
Hudson Square,11
Lower Manhattan,12
Hell's Kitchen,13
Chapel Hill,14
Northwoods,15
Whitebridge,16
Morrisville,17
Durham,18
Raleigh,19
Edgehill Farms,20
Apex,21
Tanglewood,22
Preston,23
Eastgate,24
Wayne Ridge,25
Westpark Place,26
Fayetteville Street,27
Weston,28
Meredith Townes,29
Waverly Place,30
East Austin,31
West University,32
South Congress,33
The Drag,34
Congress Ave District,35
Downtown,36
Red River District,37
Kissimmee,38
Orlando,39
Daytona Beach,40
Jacksonville,41
Ridgeland,42
Florence,43
Meredith,44
Parkway,45
Mcvan,46
Capitol One,47
University District,48
Seattle,49
Redmond,50
Bellevue,51
San Francisco,52
Palo Alto,53
Sunnyvale,54
Newark,55
Menlo Park,56
Townes at Everett Crossing,57
Huntington Woods,58
Hazelwood,59
Seaport,60
Medical Centre,61
Rose Hill,62
Soho,63
Tribeca,64
Financial District,65
Summerwinds,66
Parkwood,67
Kenner,68
CBD,69
Pontchartrain Beach,70
New Orleans,71
Metairie,72
St Thomas,73
Arlington Park at Amberly,74
Lexington Park at Amberly,75
Arlington,76
Kalorama Triangle,77
K Street,78
West End,79
Connecticut Avenue,80
Columbia Heights,81
Washington,82
Farmington Woods,83
Heritage Pines,84
Wake Forest,85
Unknown Location,86
Islamabad,87
R?walpindi,88
Lahore,89
Karachi,90
San Jose,91
Agnew,92
Cory,93
Renaissance,94
Santa Clara,95
West Berkeley,96
Berkeley,97
Emeryville,98
NOMA,99
Sunnyside,100
Ingleside,101
Oakland,102
Central,103
Tenderloin,104
SOMISSPO,105
College Avenue,106
South,107
Wake Co.,108
Fuquay-Varina,109
Palm Beach,110
Queens,111
NoMad,112
Queens County,113
Williamsburg Manor,114
Macgregor Downs,115
Walnut Terrace,116
Depot Historic District,117
Leesville Hollow,118
Arts District,119
Cedar Hill,120
Chessington,121
Savon Height,122
Gramercy-Flatiron,123
Tudor City,124
Kips Bay,125
Northwest Rectangle,126
Potrero Flats,127
Southwest Berkeley,128
